Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
143,QAT,Qatar,Doha,Asia," 2,695,122 "," 2,760,385 "," 2,414,573 "," 1,713,504 "," 645,937 "," 441,675 "," 277,450 "," 118,007 ",11586,232.6189,1.0026,0.03
114,COG,Republic of the Congo,Brazzaville,Africa," 5,970,424 "," 5,702,174 "," 5,064,386 "," 4,437,884 "," 3,134,030 "," 2,385,435 "," 1,829,256 "," 1,396,989 ",342000,17.4574,1.0231,0.07
161,REU,Reunion,Saint-Denis,Africa," 974,052 "," 957,822 "," 922,495 "," 890,130 "," 785,424 "," 658,992 "," 551,674 "," 473,925 ",2511,387.914,1.0082,0.01
64,ROU,Romania,Bucharest,Europe," 19,659,267 "," 19,442,038 "," 19,906,079 "," 20,335,211 "," 21,919,876 "," 22,836,234 "," 22,125,224 "," 19,922,618 ",238391,82.4665,1.0171,0.25
9,RUS,Russia,Moscow,Europe," 144,713,314 "," 145,617,329 "," 144,668,389 "," 143,242,599 "," 146,844,839 "," 148,005,704 "," 138,257,420 "," 130,093,010 ",17098242,8.4636,0.9973,1.81
76,RWA,Rwanda,Kigali,Africa," 13,776,698 "," 13,146,362 "," 11,642,959 "," 10,309,031 "," 8,109,989 "," 7,319,962 "," 5,247,532 "," 3,896,367 ",26338,523.0731,1.0234,0.17
228,BLM,Saint Barthelemy,Gustavia,North America," 10,967 "," 10,681 "," 9,643 "," 8,988 "," 7,082 "," 5,168 "," 2,983 "," 2,417 ",21,522.2381,1.0098,0
211,KNA,Saint Kitts and Nevis,Basseterre,North America," 47,657 "," 47,642 "," 47,790 "," 47,403 "," 45,461 "," 40,636 "," 43,097 "," 44,968 ",261,182.5939,1.0011,0
190,LCA,Saint Lucia,Castries,North America," 179,857 "," 179,237 "," 175,623 "," 170,935 "," 159,500 "," 142,301 "," 121,633 "," 103,090 ",616,291.9756,1.0011,0
220,MAF,Saint Martin,Marigot,North America," 31,791 "," 32,552 "," 35,020 "," 36,458 "," 29,610 "," 28,127 "," 7,776 "," 5,802 ",53,599.8302,0.9951,0
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America," 5,862 "," 5,906 "," 5,978 "," 6,052 "," 6,274 "," 6,324 "," 6,106 "," 5,537 ",242,24.2231,0.9964,0
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America," 103,948 "," 104,632 "," 106,482 "," 109,308 "," 113,813 "," 112,487 "," 107,480 "," 98,459 ",389,267.2185,0.9963,0
188,WSM,Samoa,Apia,Oceania," 222,382 "," 214,929 "," 203,571 "," 194,672 "," 184,008 "," 168,186 "," 164,905 "," 142,771 ",2842,78.2484,1.0165,0
218,SMR,San Marino,San Marino,Europe," 33,660 "," 34,007 "," 33,570 "," 31,608 "," 26,823 "," 23,132 "," 21,346 "," 18,169 ",61,551.8033,0.9975,0
187,STP,Sao Tome and Principe,São Tomé,Africa," 227,380 "," 218,641 "," 201,124 "," 182,138 "," 143,714 "," 120,343 "," 97,210 "," 77,583 ",964,235.8714,1.0192,0
41,SAU,Saudi Arabia,Riyadh,Asia," 36,408,820 "," 35,997,107 "," 32,749,848 "," 29,411,929 "," 21,547,390 "," 16,004,763 "," 10,171,710 "," 6,106,191 ",2149690,16.9368,1.0128,0.46
72,SEN,Senegal,Dakar,Africa," 17,316,449 "," 16,436,119 "," 14,356,181 "," 12,530,121 "," 9,704,287 "," 7,536,001 "," 5,703,869 "," 4,367,744 ",196722,88.025,1.0261,0.22
105,SRB,Serbia,Belgrade,Europe," 7,221,365 "," 7,358,005 "," 7,519,496 "," 7,653,748 "," 7,935,022 "," 7,987,529 "," 7,777,010 "," 7,193,533 ",88361,81.7257,0.9897,0.09
196,SYC,Seychelles,Victoria,Africa," 107,118 "," 105,530 "," 99,240 "," 92,409 "," 80,060 "," 71,057 "," 65,290 "," 54,379 ",452,236.9867,1.0061,0
102,SLE,Sierra Leone,Freetown,Africa," 8,605,718 "," 8,233,969 "," 7,314,773 "," 6,436,698 "," 4,584,067 "," 4,325,388 "," 3,367,477 "," 2,778,557 ",71740,119.957,1.022,0.11
113,SGP,Singapore,Singapore,Asia," 5,975,689 "," 5,909,869 "," 5,650,018 "," 5,163,590 "," 4,053,602 "," 3,022,209 "," 2,400,729 "," 2,061,831 ",710,8416.4634,1.0058,0.07
214,SXM,Sint Maarten,Philipsburg,North America," 44,175 "," 43,621 "," 40,205 "," 33,034 "," 30,489 "," 27,845 "," 12,243 "," 6,260 ",34,1299.2647,1.003,0
116,SVK,Slovakia,Bratislava,Europe," 5,643,453 "," 5,456,681 "," 5,424,444 "," 5,396,424 "," 5,376,690 "," 5,261,305 "," 4,973,883 "," 4,522,867 ",49037,115.0856,1.0359,0.07
148,SVN,Slovenia,Ljubljana,Europe," 2,119,844 "," 2,117,641 "," 2,080,862 "," 2,057,286 "," 1,984,339 "," 1,986,024 "," 1,901,570 "," 1,741,286 ",20273,104.5649,1.0002,0.03
166,SLB,Solomon Islands,Honiara,Oceania," 724,273 "," 691,191 "," 612,660 "," 540,394 "," 429,978 "," 324,171 "," 233,668 "," 172,833 ",28896,25.0648,1.0232,0.01
70,SOM,Somalia,Mogadishu,Africa," 17,597,511 "," 16,537,016 "," 13,763,906 "," 12,026,649 "," 8,721,465 "," 6,999,096 "," 5,892,224 "," 3,720,977 ",637657,27.5971,1.0312,0.22
24,ZAF,South Africa,Pretoria,Africa," 59,893,885 "," 58,801,927 "," 55,876,504 "," 51,784,921 "," 46,813,266 "," 39,877,570 "," 29,463,549 "," 22,368,306 ",1221037,49.0517,1.0084,0.75
29,KOR,South Korea,Seoul,Asia," 51,815,810 "," 51,844,690 "," 50,994,401 "," 48,813,042 "," 46,788,591 "," 44,120,039 "," 38,170,501 "," 32,601,143 ",100210,517.0722,0.9997,0.65
86,SSD,South Sudan,Juba,Africa," 10,913,164 "," 10,606,227 "," 11,194,299 "," 9,714,419 "," 6,114,440 "," 4,750,817 "," 4,192,011 "," 3,342,410 ",619745,17.6091,1.0153,0.14
